XGB,Hist,Light,HistLight,All,Real
59.15691376,60.54848548,59.02795115,59.78821831,59.57778346,57.42
58.59931564,60.18123785,60.4847937,60.33301578,59.75511573,56.61
59.16016769,59.73362858,60.57460598,60.15411728,59.82280075,59.96
59.25086212,58.86554464,61.53139782,60.19847123,59.88260153,56.61
53.64546967,55.19759319,54.7377744,54.96768379,54.52694575,52.6
43.99882507,45.18181506,49.34463487,47.26322497,46.17509167,45.94
54.69965744,53.2552171,53.4772992,53.36625815,53.81072458,57.8
46.01389313,44.71118403,48.47894708,46.59506556,46.40134142,47.06
54.38273239,53.54196825,54.85957589,54.20077207,54.26142551,56.82
53.44061279,50.82123211,53.37748979,52.09936095,52.5464449,57.01
55.81732941,57.13668378,54.13080177,55.63374278,55.69493832,56.61
46.29933167,47.41469678,45.14396802,46.2793324,46.28599882,49.98
39.4367218,40.97172398,39.39733777,40.18453088,39.93526119,41.36
50.06745148,48.83186805,49.61498358,49.22342581,49.5047677,49.98
50.81238174,51.48775702,48.90876099,50.198259,50.40296658,52.16
60.6452446,60.03178316,61.05753251,60.54465784,60.57818676,58.01
47.70072174,47.36550536,45.37497496,46.37024016,46.81373402,49.98
57.59220505,54.91194003,53.54293473,54.22743738,55.3490266,56.61
36.82025528,48.31846908,41.12825261,44.72336084,42.08899232,36.05
51.16580582,51.89715731,44.98328903,48.44022317,49.34875072,52.37
52.10581207,52.93654196,50.36727021,51.65190609,51.80320808,52.23
52.70332336,52.6161685,50.85284081,51.73450466,52.05744423,59.26
54.78705597,59.80898417,58.84243656,59.32571036,57.81282557,59.96
48.12239456,45.28791405,45.50884846,45.39838126,46.30638569,49.14
48.82843781,49.44993043,49.24264638,49.34628841,49.17367154,49.98
56.61892319,56.54299358,55.59840987,56.07070172,56.25344221,61.59
54.03637314,60.11108664,58.73205886,59.42157275,57.62650621,51.32
43.69464493,43.54346761,43.29491862,43.41919312,43.51101039,45.94
56.76475906,57.83580836,58.70279778,58.26930307,57.7677884,52.54
59.48151779,59.74112677,60.40539895,60.07326286,59.8760145,59.96
47.82017517,47.39821401,46.31575298,46.8569835,47.17804739,46.04
57.58485794,55.62801517,56.02016891,55.82409204,56.41101401,59.26
59.03886414,57.72095439,55.44284451,56.58189945,57.40088768,57.8
47.96063995,47.73971284,46.92612034,47.33291659,47.54215771,47.43
52.00192261,50.63111342,49.42894012,50.03002677,50.68732538,52.16
41.63804245,42.19160154,41.4203447,41.80597312,41.74999623,44.17
52.29231644,48.38104745,46.48046925,47.43075835,49.05127771,52.23
58.90983963,55.74256659,59.52487634,57.63372147,58.05909419,46.04
50.99187851,51.61843556,51.41648539,51.51746047,51.34226649,54.55
49.42467499,51.49787513,51.81470459,51.65628986,50.91241824,52.54
49.31635666,48.94843594,49.44474449,49.19659022,49.23651236,45.94
54.39773941,55.16962481,54.25161958,54.71062219,54.60632793,46.04
50.99952698,50.53672811,48.82976223,49.68324517,50.12200577,60.92
58.35499954,56.90162971,59.30829464,58.10496218,58.18830796,60.92
51.72822189,51.40811248,51.49905146,51.45358197,51.54512861,47.43
53.9695282,54.33623465,52.11684575,53.2265402,53.47420287,57.8
59.53992844,60.30934435,63.00349021,61.65641728,60.950921,58.01
60.14203262,60.53739096,60.08320624,60.3102986,60.25420994,71.02
56.0340538,57.02479462,56.79821953,56.91150707,56.61902265,57.42
49.64741135,49.46328305,47.99795637,48.73061971,49.03621692,49.98
47.69646835,47.26971528,46.74146826,47.00559177,47.23588396,39.96
50.91923523,49.00287535,48.8270529,48.91496413,49.58305449,52.6
54.57247162,54.30744271,54.94924323,54.62834297,54.60971919,59.26
57.01843643,49.63468141,50.27062942,49.95265541,52.30791575,35.08
60.61480331,58.76976804,63.61390821,61.19183813,60.99949319,57.8
61.28380966,58.44897441,60.92036547,59.68466994,60.21771652,69.09
54.31191254,54.53574727,54.50839879,54.52207303,54.45201953,55.14
50.27317047,52.19628943,51.94240203,52.06934573,51.47062064,60.65
56.5108223,54.42622668,54.88176253,54.65399461,55.27293717,56.82
47.12044907,48.14704394,46.77104722,47.45904558,47.34618007,49.98
55.89331436,56.84918969,55.82722,56.33820485,56.18990802,57.42
51.52992249,48.67072915,49.70002335,49.18537625,49.96689166,49.98
50.09750366,49.31685716,46.67288196,47.99486956,48.69574759,52.23
56.1205864,56.5873523,49.83932321,53.21333776,54.18242064,57.04
49.4487114,53.49509069,53.35529789,53.42519429,52.09969999,52.6
54.70221329,54.26072161,53.04978163,53.65525162,54.00423884,52.37
49.19028473,52.30535778,49.45664824,50.88100301,50.31743025,52.37
51.67253876,53.61681025,50.71956922,52.16818973,52.00297274,56.61
52.04547501,52.72077857,52.37604778,52.54841317,52.38076712,52.6
60.8435936,61.05532743,58.53684917,59.7960883,60.14525673,56.82
55.62561798,56.1382488,54.21271039,55.17547959,55.32552572,59.96
58.75598145,59.33493218,60.74798719,60.04145968,59.61296694,59.96
54.4501152,51.94390798,54.3175006,53.13070429,53.57050793,57.01
53.02252579,52.93822777,51.19237579,52.06530178,52.38437645,51.4
52.326931,52.35882577,52.33041588,52.34462083,52.33872422,52.54
64.44699097,59.06406379,62.13476494,60.59941437,61.8819399,56.61
42.92942047,43.16939541,43.0409581,43.10517676,43.04659133,38.22
